#/gcsv export of scid.eco
ECO,Opening,Moves
A08,"Reti:/gKIA, 2...c5",1.Nf3 d5 2.g3 c5 *
A08,"Reti:/gKIA, 2...c5",1.Nf3 d5 2.g3 c5 3.Bg2 *
A08,"Reti:/gKIA, 2...c5/g 3...g6",1.Nf3 d5 2.g3 c5 3.Bg2 g6 4.O-O Bg7 *
A08,"Reti:/gKIA, 2...c5/g 3...g6",1.Nf3 d5 2.g3 c5 3.Bg2 g6 4.O-O Bg7 5.d3 *
A08,"Reti:/gKIA, 2...c5/g 3...g6",1.Nf3 d5 2.g3 c5 3.Bg2 g6 4.O-O Bg7 5.d3 Nf6 *
A08,"Reti:/gKIA, 2...c5/g 3...g6",1.Nf3 d5 2.g3 c5 3.Bg2 g6 4.O-O Bg7 5.d3 Nf6 6.Nbd2 O-O *
A08,"Reti:/gKIA, 2...c5/g 3...g6",1.Nf3 d5 2.g3 c5 3.Bg2 g6 4.O-O Nc6 5.d3 Nf6 *
A08,"Reti:/gKIA, 2...c5 3.Bg2 Nc6",1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 *
A08,"Reti:/gKIA, 2...c5, 3.Bg2 Nc6 4.O-O",1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O *
A08,"Reti:/gKIA, 2...c5, 3.Bg2 Nc6 4.d4",1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.d4 *
A08,"Reti:/gKIA, 2...c5 3.Bg2 Nf6",1.Nf3 d5 2.g3 c5 3.Bg2 Nf6 *
A08,"Reti:/gKIA, 2...c5 3.Bg2 Nf6 4.O-O",1.Nf3 d5 2.g3 c5 3.Bg2 Nf6 4.O-O *
A08,"Reti:/gKIA, 2...c5 3.Bg2 Nf6 4.O-O Nc6",1.Nf3 d5 2.g3 c5 3.Bg2 Nf6 4.O-O Nc6 *
A08,"Reti:/gKIA, French Variation",1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O e6 5.d3 Nge7 6.Nbd2 b6 7.e4 *
A08,"Reti:/gKIA, French Variation",1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O e6 5.d3 Nf6 6.Nbd2 b6 7.e4 *
A08,"Reti:/gKIA, French Variation",1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O e6 5.d3 Nge7 6.Nbd2 g6 7.e4 Bg7 *
